,Account,Date,Transaction type,Num,Name,Memo/Description,Account full name,Account,Amount,Balance
2800 Deferred Revenue,,,,,,,,,,
,Beginning Balance,,,,,,,,,"$1,000,701.14"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-434,,Zingermans MSS-FW PA460,2800 Deferred Revenue,,-$550.00,"$1,000,151.14"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-435,,Edcor NWG-FW,2800 Deferred Revenue,,-$944.17,"$999,206.97"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-436,,WHS MSS-Monitor,2800 Deferred Revenue,,"-$4,166.67","$995,040.30"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-437,,GT MSS-FW,2800 Deferred Revenue,,"-$2,766.75","$992,273.55"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-437,,GT MSS-EDR,2800 Deferred Revenue,,"-$3,257.09","$989,016.46"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-437,,GT MSS-VM,2800 Deferred Revenue,,"-$1,085.00","$987,931.46"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-437,,GT-MSS-SSL,2800 Deferred Revenue,,-$279.00,"$987,652.46"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-437,,GT-MSS-NWGM,2800 Deferred Revenue,,-$465.00,"$987,187.46"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-437,,GT-MSS-FWR,2800 Deferred Revenue,,"-$1,240.00","$985,947.46"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-437,,GT-MSS-VPN,2800 Deferred Revenue,,-$232.50,"$985,714.96"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-440,,Harmony NWG Manage (Pulse),2800 Deferred Revenue,,-$257.50,"$985,457.46"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-441,,Escalent MSS-NWGMAN,2800 Deferred Revenue,,"-$10,920.00","$974,537.46"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-442,,Escalent MSS-VMP,2800 Deferred Revenue,,"-$1,375.00","$973,162.46"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-443,,Zingermans MSS-PLS,2800 Deferred Revenue,,-$550.00,"$972,612.46"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-444,,Akumin NWGMAN,2800 Deferred Revenue,,"-$22,916.67","$949,695.79"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-445,,Escalent MSS-ADV,2800 Deferred Revenue,,"-$4,166.67","$945,529.12"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-446,,Hubbard MSS-MBS,2800 Deferred Revenue,,-$550.00,"$944,979.12"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-448,,Nat Mach MSS-FW (PA),2800 Deferred Revenue,,"-$1,016.67","$943,962.45"
